negotiation_date,sold_price,product
07/01/2014,308.33,Polpa Cítrica
08/01/2014,300.67,Polpa Cítrica
09/01/2014,295.0,Polpa Cítrica
10/01/2014,324.0,Polpa Cítrica
11/01/2014,250.71,Polpa Cítrica
12/01/2014,250.0,Polpa Cítrica
15/01/2014,305.0,Polpa Cítrica
21/01/2014,335.0,Polpa Cítrica
22/01/2014,338.5,Polpa Cítrica
23/01/2014,336.75,Polpa Cítrica
24/01/2014,330.0,Polpa Cítrica
27/01/2014,320.0,Polpa Cítrica
28/01/2014,356.25,Polpa Cítrica
30/01/2014,330.0,Polpa Cítrica
31/01/2014,314.64,Polpa Cítrica
01/02/2014,280.0,Polpa Cítrica
06/02/2014,345.0,Polpa Cítrica
07/02/2014,315.94,Polpa Cítrica
08/02/2014,290.0,Polpa Cítrica
09/02/2014,301.8,Polpa Cítrica
10/02/2014,307.0,Polpa Cítrica
11/02/2014,284.0,Polpa Cítrica
12/02/2014,276.43,Polpa Cítrica
13/02/2014,401.86,Polpa Cítrica
14/02/2014,438.5,Polpa Cítrica
15/02/2014,415.0,Polpa Cítrica
17/02/2014,421.62,Polpa Cítrica
18/02/2014,423.11,Polpa Cítrica
19/02/2014,340.0,Polpa Cítrica
21/02/2014,403.33,Polpa Cítrica
22/02/2014,423.5,Polpa Cítrica
24/02/2014,428.75,Polpa Cítrica
26/02/2014,415.0,Polpa Cítrica
01/03/2014,250.0,Polpa Cítrica
02/03/2014,330.0,Polpa Cítrica
04/03/2014,545.0,Polpa Cítrica
06/03/2014,286.0,Polpa Cítrica
07/03/2014,281.0,Polpa Cítrica
08/03/2014,305.0,Polpa Cítrica
09/03/2014,309.25,Polpa Cítrica
10/03/2014,285.0,Polpa Cítrica
11/03/2014,268.67,Polpa Cítrica
12/03/2014,260.83,Polpa Cítrica
14/03/2014,430.0,Polpa Cítrica
15/03/2014,523.0,Polpa Cítrica
21/03/2014,515.0,Polpa Cítrica
01/04/2014,285.0,Polpa Cítrica
02/04/2014,335.71,Polpa Cítrica
04/04/2014,545.5,Polpa Cítrica
06/04/2014,337.0,Polpa Cítrica
07/04/2014,323.71,Polpa Cítrica
09/04/2014,306.25,Polpa Cítrica
11/04/2014,254.6,Polpa Cítrica
12/04/2014,260.0,Polpa Cítrica
17/04/2014,525.0,Polpa Cítrica
25/04/2014,515.0,Polpa Cítrica
26/04/2014,515.0,Polpa Cítrica
28/04/2014,494.0,Polpa Cítrica
29/04/2014,500.0,Polpa Cítrica
30/04/2014,495.0,Polpa Cítrica
01/05/2014,295.0,Polpa Cítrica
02/05/2014,350.67,Polpa Cítrica
04/05/2014,551.5,Polpa Cítrica
06/05/2014,289.17,Polpa Cítrica
07/05/2014,305.2,Polpa Cítrica
08/05/2014,304.33,Polpa Cítrica
09/05/2014,307.33,Polpa Cítrica
11/05/2014,263.6,Polpa Cítrica
12/05/2014,251.42,Polpa Cítrica
13/05/2014,280.0,Polpa Cítrica
14/05/2014,426.25,Polpa Cítrica
15/05/2014,307.5,Polpa Cítrica
16/05/2014,310.5,Polpa Cítrica
17/05/2014,345.0,Polpa Cítrica
19/05/2014,350.0,Polpa Cítrica
21/05/2014,310.0,Polpa Cítrica
24/05/2014,277.0,Polpa Cítrica
25/05/2014,330.0,Polpa Cítrica
26/05/2014,350.0,Polpa Cítrica
27/05/2014,278.5,Polpa Cítrica
28/05/2014,322.33,Polpa Cítrica
29/05/2014,328.25,Polpa Cítrica
30/05/2014,320.0,Polpa Cítrica
31/05/2014,315.25,Polpa Cítrica
01/06/2014,292.0,Polpa Cítrica
02/06/2014,344.25,Polpa Cítrica
03/06/2014,453.0,Polpa Cítrica
06/06/2014,290.0,Polpa Cítrica
07/06/2014,305.0,Polpa Cítrica
08/06/2014,317.5,Polpa Cítrica
09/06/2014,335.0,Polpa Cítrica
10/06/2014,315.0,Polpa Cítrica
11/06/2014,255.7,Polpa Cítrica
